Objectid,Division,District_name,Dist_Code,"Confirmed_cases 
Upto 05 April","Confirmed_cases 
Upto 06 April","Confirmed_cases 
Upto 07 April",Confirmed_cases Upto 08 April,Confirmed_cases Upto 09 April,Confirmed_cases Upto 11 April,Confirmed_cases Upto 13 April,Confirmed_cases Upto 14 April,Confirmed_cases Upto 15 April,Confirmed_cases Upto 16 April,Confirmed_cases Upto 17 April,Confirmed_cases Upto 18 April,Confirmed_cases Upto 19 April,Confirmed_cases Upto 20 April,Confirmed_cases Upto 21 April,Confirmed_cases Upto 22 April,Confirmed_cases Upto 23 April,"Recovered_cases
Upto 23 April",Confirmed_cases Upto 24 April,Confirmed_cases Upto 25 April,Confirmed_cases Upto 26 April,"Recovered_cases
Upto 26 April",Confirmed_cases Upto 27 April,"Death_cases
Upto 27 April","Recovered_cases
Upto 27 April",Confirmed_cases Upto 28 April,"Death_cases
Upto 28 April","Recovered_cases
Upto 28 April",Confirmed_cases Upto 29 April,"Death_cases
Upto 29 April",Confirmed_cases Upto 30 April,"Death_cases
Upto 30 April",Confirmed_cases Upto 01 May,"Death_cases
Upto 01 May",Confirmed_cases Upto 02 May,"Death_cases
Upto 02 May",Confirmed_cases Upto 03 May,"Death_cases
Upto 03 May",Confirmed_cases Upto 04 May,"Death_cases
Upto 04 May",Confirmed_cases Upto 05 May,"Death_cases
Upto 05 May",Confirmed_cases Upto 06 May,"Death_cases
Upto 06 May",Confirmed_cases Upto 07 May,Confirmed_cases Upto 08 May,Confirmed_cases Upto 09 May,Confirmed_cases Upto 10 May,Confirmed_cases Upto 11 May,Confirmed_cases Upto 12 May,Confirmed_cases Upto 14 May,Confirmed_cases Upto 15 May,Confirmed_cases Upto 16 May,Confirmed_cases Upto 17 May,Confirmed_cases Upto 19 May,Confirmed_cases Upto 20 May,Confirmed_cases Upto 24 May,Confirmed_cases Upto 01 June,Confirmed_cases Upto 08 June
45,Rajshahi,Nawabganj,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,0,2,0,0,2,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,11,12,14,14,14,15,15,15,15,15,36,41,46,54,64
17,Rangpur,Gaibandha,5532,5,5,5,5,8,5,6,8,12,12,12,12,12,13,13,13,14,4,14,16,16,4,17,0,4,19,0,4,20,0,21,0,21,0,24,0,25,0,23,0,24,0,24,0,24,24,24,25,25,25,25,26,26,26,26,26,31,48,63
24,Khulna,Jhenaidah,4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,19,0,0,19,0,19,0,19,0,19,0,19,0,19,0,27,0,33,0,33,34,38,38,40,41,43,43,44,44,45,46,47,48,57
63,Dhaka,Tangail,3093,0,0,0,2,2,2,7,7,9,9,9,9,10,10,13,15,16,0,21,22,23,0,24,2,0,27,2,0,28,2,29,3,29,3,29,3,29,3,30,3,30,3,30,3,30,31,31,31,31,32,35,35,35,40,41,43,50,52,55
50,Rangpur,Panchagarh,5577,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,3,3,4,0,4,0,0,7,0,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,9,10,10,10,10,10,11,11,15,15,20,20,35,49,52
57,Khulna,Satkhira,4087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,2,0,3,0,4,0,4,4,4,4,4,4,5,5,5,6,30,30,36,43,49
26,Chittagong,Khagrachhari,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,2,0,2,0,2,2,3,3,3,3,7,7,7,7,9,9,24,35,47
1,Khulna,Bagerhat,4001,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,3,3,3,5,6,6,6,8,11,11,13,18,46
32,Rangpur,Lalmonirhat,5552,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,0,0,2,0,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,4,0,4,13,13,13,13,15,15,17,22,23,25,26,30,36,42
60,Rajshahi,Sirajganj,5088,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,2,2,2,0,2,0,0,3,0,0,3,0,3,0,3,0,3,0,3,0,4,0,4,0,4,0,4,6,6,6,6,6,6,6,7,7,8,9,9,20,42
2,Chittagong,Bandarban,2003,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,0,4,4,4,0,4,0,0,4,0,0,4,0,4,0,7,0,7,0,7,0,7,0,4,0,4,0,4,4,4,4,4,5,5,5,5,6,7,8,20,31,41
23,Barisal,Jhalokati,1042,0,0,0,0,0,0,3,3,3,3,3,3,4,4,4,5,5,0,5,5,5,0,5,0,0,6,0,0,6,0,8,0,8,0,8,0,10,0,10,0,10,0,10,0,13,13,13,13,13,13,13,14,14,16,16,16,26,30,39
52,Barisal,Pirojpur,1079,0,0,0,0,0,0,0,1,4,4,4,4,4,5,5,5,5,0,5,7,7,0,7,0,0,8,0,0,8,0,9,0,9,0,9,0,10,0,10,0,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7,7,21,24,38
34,Khulna,Magura,4055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,4,0,4,0,0,4,0,0,6,0,7,0,8,0,8,0,8,0,8,0,7,0,8,0,8,11,12,12,14,18,22,22,23,23,23,23,23,25,37
41,Khulna,Narail,4065,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,7,7,0,7,7,10,0,13,0,0,13,0,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,13,13,14,14,15,15,15,16,16,19,25,26,34
37,Khulna,Meherpur,4057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,0,2,1,0,2,1,0,2,1,2,1,2,1,2,1,2,1,2,1,3,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,8,18,30
